ID,Question_Base,Neutral_Prompt,Reward_Prompt,Money_Prompt
1,What is the capital of France?,This is a neutral task presented in the standard way. What is the capital of France?,You will receive a great reward for a correct answer. What is the capital of France?,You will receive 100 US dollars for a correct answer. What is the capital of France?
2,What is the capital of Brazil?,This is a neutral task presented in the standard way. What is the capital of Brazil?,You will receive a great reward for a correct answer. What is the capital of Brazil?,You will receive 100 US dollars for a correct answer. What is the capital of Brazil?
3,What is the capital of Japan?,This is a neutral task presented in the standard way. What is the capital of Japan?,You will receive a great reward for a correct answer. What is the capital of Japan?,You will receive 100 US dollars for a correct answer. What is the capital of Japan?
4,What is the capital of Germany?,This is a neutral task presented in the standard way. What is the capital of Germany?,You will receive a great reward for a correct answer. What is the capital of Germany?,You will receive 100 US dollars for a correct answer. What is the capital of Germany?
5,What is the capital of Canada?,This is a neutral task presented in the standard way. What is the capital of Canada?,You will receive a great reward for a correct answer. What is the capital of Canada?,You will receive 100 US dollars for a correct answer. What is the capital of Canada?
6,What is the capital of Australia?,This is a neutral task presented in the standard way. What is the capital of Australia?,You will receive a great reward for a correct answer. What is the capital of Australia?,You will receive 100 US dollars for a correct answer. What is the capital of Australia?
7,What is the capital of Italy?,This is a neutral task presented in the standard way. What is the capital of Italy?,You will receive a great reward for a correct answer. What is the capital of Italy?,You will receive 100 US dollars for a correct answer. What is the capital of Italy?
8,What is the capital of Russia?,This is a neutral task presented in the standard way. What is the capital of Russia?,You will receive a great reward for a correct answer. What is the capital of Russia?,You will receive 100 US dollars for a correct answer. What is the capital of Russia?
9,What is the capital of China?,This is a neutral task presented in the standard way. What is the capital of China?,You will receive a great reward for a correct answer. What is the capital of China?,You will receive 100 US dollars for a correct answer. What is the capital of China?
10,What is the capital of India?,This is a neutral task presented in the standard way. What is the capital of India?,You will receive a great reward for a correct answer. What is the capital of India?,You will receive 100 US dollars for a correct answer. What is the capital of India?
11,What is the capital of Egypt?,This is a neutral task presented in the standard way. What is the capital of Egypt?,You will receive a great reward for a correct answer. What is the capital of Egypt?,You will receive 100 US dollars for a correct answer. What is the capital of Egypt?
12,What is the capital of Mexico?,This is a neutral task presented in the standard way. What is the capital of Mexico?,You will receive a great reward for a correct answer. What is the capital of Mexico?,You will receive 100 US dollars for a correct answer. What is the capital of Mexico?
13,What is the capital of South Africa?,This is a neutral task presented in the standard way. What is the capital of South Africa?,You will receive a great reward for a correct answer. What is the capital of South Africa?,You will receive 100 US dollars for a correct answer. What is the capital of South Africa?
14,What is the capital of Argentina?,This is a neutral task presented in the standard way. What is the capital of Argentina?,You will receive a great reward for a correct answer. What is the capital of Argentina?,You will receive 100 US dollars for a correct answer. What is the capital of Argentina?
15,What is the capital of South Korea?,This is a neutral task presented in the standard way. What is the capital of South Korea?,You will receive a great reward for a correct answer. What is the capital of South Korea?,You will receive 100 US dollars for a correct answer. What is the capital of South Korea?
16,What is the capital of Turkey?,This is a neutral task presented in the standard way. What is the capital of Turkey?,You will receive a great reward for a correct answer. What is the capital of Turkey?,You will receive 100 US dollars for a correct answer. What is the capital of Turkey?
17,What is the capital of Spain?,This is a neutral task presented in the standard way. What is the capital of Spain?,You will receive a great reward for a correct answer. What is the capital of Spain?,You will receive 100 US dollars for a correct answer. What is the capital of Spain?
18,What is the capital of Thailand?,This is a neutral task presented in the standard way. What is the capital of Thailand?,You will receive a great reward for a correct answer. What is the capital of Thailand?,You will receive 100 US dollars for a correct answer. What is the capital of Thailand?
19,What is the capital of Nigeria?,This is a neutral task presented in the standard way. What is the capital of Nigeria?,You will receive a great reward for a correct answer. What is the capital of Nigeria?,You will receive 100 US dollars for a correct answer. What is the capital of Nigeria?
20,What is the capital of the United Kingdom?,This is a neutral task presented in the standard way. What is the capital of the United Kingdom?,You will receive a great reward for a correct answer. What is the capital of the United Kingdom?,You will receive 100 US dollars for a correct answer. What is the capital of the United Kingdom?
21,What is the capital of Sweden?,This is a neutral task presented in the standard way. What is the capital of Sweden?,You will receive a great reward for a correct answer. What is the capital of Sweden?,You will receive 100 US dollars for a correct answer. What is the capital of Sweden?
22,What is the capital of Norway?,This is a neutral task presented in the standard way. What is the capital of Norway?,You will receive a great reward for a correct answer. What is the capital of Norway?,You will receive 100 US dollars for a correct answer. What is the capital of Norway?
23,What is the capital of Finland?,This is a neutral task presented in the standard way. What is the capital of Finland?,You will receive a great reward for a correct answer. What is the capital of Finland?,You will receive 100 US dollars for a correct answer. What is the capital of Finland?
24,What is the capital of Denmark?,This is a neutral task presented in the standard way. What is the capital of Denmark?,You will receive a great reward for a correct answer. What is the capital of Denmark?,You will receive 100 US dollars for a correct answer. What is the capital of Denmark?
25,What is the capital of Greece?,This is a neutral task presented in the standard way. What is the capital of Greece?,You will receive a great reward for a correct answer. What is the capital of Greece?,You will receive 100 US dollars for a correct answer. What is the capital of Greece?
26,What is the capital of Portugal?,This is a neutral task presented in the standard way. What is the capital of Portugal?,You will receive a great reward for a correct answer. What is the capital of Portugal?,You will receive 100 US dollars for a correct answer. What is the capital of Portugal?
27,What is the capital of the Netherlands?,This is a neutral task presented in the standard way. What is the capital of the Netherlands?,You will receive a great reward for a correct answer. What is the capital of the Netherlands?,You will receive 100 US dollars for a correct answer. What is the capital of the Netherlands?
28,What is the capital of Belgium?,This is a neutral task presented in the standard way. What is the capital of Belgium?,You will receive a great reward for a correct answer. What is the capital of Belgium?,You will receive 100 US dollars for a correct answer. What is the capital of Belgium?
29,What is the capital of Switzerland?,This is a neutral task presented in the standard way. What is the capital of Switzerland?,You will receive a great reward for a correct answer. What is the capital of Switzerland?,You will receive 100 US dollars for a correct answer. What is the capital of Switzerland?
30,What is the capital of Austria?,This is a neutral task presented in the standard way. What is the capital of Austria?,You will receive a great reward for a correct answer. What is the capital of Austria?,You will receive 100 US dollars for a correct answer. What is the capital of Austria?
31,What is the capital of Poland?,This is a neutral task presented in the standard way. What is the capital of Poland?,You will receive a great reward for a correct answer. What is the capital of Poland?,You will receive 100 US dollars for a correct answer. What is the capital of Poland?
32,What is the capital of Ukraine?,This is a neutral task presented in the standard way. What is the capital of Ukraine?,You will receive a great reward for a correct answer. What is the capital of Ukraine?,You will receive 100 US dollars for a correct answer. What is the capital of Ukraine?
33,What is the capital of Vietnam?,This is a neutral task presented in the standard way. What is the capital of Vietnam?,You will receive a great reward for a correct answer. What is the capital of Vietnam?,You will receive 100 US dollars for a correct answer. What is the capital of Vietnam?
34,What is the capital of Indonesia?,This is a neutral task presented in the standard way. What is the capital of Indonesia?,You will receive a great reward for a correct answer. What is the capital of Indonesia?,You will receive 100 US dollars for a correct answer. What is the capital of Indonesia?
35,What is the capital of the Philippines?,This is a neutral task presented in the standard way. What is the capital of the Philippines?,You will receive a great reward for a correct answer. What is the capital of the Philippines?,You will receive 100 US dollars for a correct answer. What is the capital of the Philippines?
36,What is the capital of Malaysia?,This is a neutral task presented in the standard way. What is the capital of Malaysia?,You will receive a great reward for a correct answer. What is the capital of Malaysia?,You will receive 100 US dollars for a correct answer. What is the capital of Malaysia?
37,What is the capital of Saudi Arabia?,This is a neutral task presented in the standard way. What is the capital of Saudi Arabia?,You will receive a great reward for a correct answer. What is the capital of Saudi Arabia?,You will receive 100 US dollars for a correct answer. What is the capital of Saudi Arabia?
