ID,Question_Base,Neutral_Prompt,Reward_Prompt,Money_Prompt
1,What is 35 plus 93?,This is a neutral task presented in the standard way. What is 35 plus 93?,You will receive a great reward for a correct answer. What is 35 plus 93?,You will receive 100 US dollars for a correct answer. What is 35 plus 93?
2,What is 108 minus 33?,This is a neutral task presented in the standard way. What is 108 minus 33?,You will receive a great reward for a correct answer. What is 108 minus 33?,You will receive 100 US dollars for a correct answer. What is 108 minus 33?
3,What is 2 times 21?,This is a neutral task presented in the standard way. What is 2 times 21?,You will receive a great reward for a correct answer. What is 2 times 21?,You will receive 100 US dollars for a correct answer. What is 2 times 21?
4,What is 37 plus 53?,This is a neutral task presented in the standard way. What is 37 plus 53?,You will receive a great reward for a correct answer. What is 37 plus 53?,You will receive 100 US dollars for a correct answer. What is 37 plus 53?
5,What is 30 plus 99?,This is a neutral task presented in the standard way. What is 30 plus 99?,You will receive a great reward for a correct answer. What is 30 plus 99?,You will receive 100 US dollars for a correct answer. What is 30 plus 99?
6,What is 6 times 23?,This is a neutral task presented in the standard way. What is 6 times 23?,You will receive a great reward for a correct answer. What is 6 times 23?,You will receive 100 US dollars for a correct answer. What is 6 times 23?
7,What is 13 plus 81?,This is a neutral task presented in the standard way. What is 13 plus 81?,You will receive a great reward for a correct answer. What is 13 plus 81?,You will receive 100 US dollars for a correct answer. What is 13 plus 81?
8,What is 98 minus 27?,This is a neutral task presented in the standard way. What is 98 minus 27?,You will receive a great reward for a correct answer. What is 98 minus 27?,You will receive 100 US dollars for a correct answer. What is 98 minus 27?
9,What is 138 divided by 6?,This is a neutral task presented in the standard way. What is 138 divided by 6?,You will receive a great reward for a correct answer. What is 138 divided by 6?,You will receive 100 US dollars for a correct answer. What is 138 divided by 6?
10,What is 135 minus 27?,This is a neutral task presented in the standard way. What is 135 minus 27?,You will receive a great reward for a correct answer. What is 135 minus 27?,You will receive 100 US dollars for a correct answer. What is 135 minus 27?
11,What is 45 plus 29?,This is a neutral task presented in the standard way. What is 45 plus 29?,You will receive a great reward for a correct answer. What is 45 plus 29?,You will receive 100 US dollars for a correct answer. What is 45 plus 29?
12,What is 77 minus 41?,This is a neutral task presented in the standard way. What is 77 minus 41?,You will receive a great reward for a correct answer. What is 77 minus 41?,You will receive 100 US dollars for a correct answer. What is 77 minus 41?
13,What is 3 times 12?,This is a neutral task presented in the standard way. What is 3 times 12?,You will receive a great reward for a correct answer. What is 3 times 12?,You will receive 100 US dollars for a correct answer. What is 3 times 12?
14,What is 136 divided by 8?,This is a neutral task presented in the standard way. What is 136 divided by 8?,You will receive a great reward for a correct answer. What is 136 divided by 8?,You will receive 100 US dollars for a correct answer. What is 136 divided by 8?
15,What is 13 plus 45?,This is a neutral task presented in the standard way. What is 13 plus 45?,You will receive a great reward for a correct answer. What is 13 plus 45?,You will receive 100 US dollars for a correct answer. What is 13 plus 45?
16,What is 148 minus 13?,This is a neutral task presented in the standard way. What is 148 minus 13?,You will receive a great reward for a correct answer. What is 148 minus 13?,You will receive 100 US dollars for a correct answer. What is 148 minus 13?
17,What is 7 times 20?,This is a neutral task presented in the standard way. What is 7 times 20?,You will receive a great reward for a correct answer. What is 7 times 20?,You will receive 100 US dollars for a correct answer. What is 7 times 20?
18,What is 209 divided by 11?,This is a neutral task presented in the standard way. What is 209 divided by 11?,You will receive a great reward for a correct answer. What is 209 divided by 11?,You will receive 100 US dollars for a correct answer. What is 209 divided by 11?
19,What is 18 divided by 3?,This is a neutral task presented in the standard way. What is 18 divided by 3?,You will receive a great reward for a correct answer. What is 18 divided by 3?,You will receive 100 US dollars for a correct answer. What is 18 divided by 3?
20,What is 216 divided by 12?,This is a neutral task presented in the standard way. What is 216 divided by 12?,You will receive a great reward for a correct answer. What is 216 divided by 12?,You will receive 100 US dollars for a correct answer. What is 216 divided by 12?
21,What is 84 minus 14?,This is a neutral task presented in the standard way. What is 84 minus 14?,You will receive a great reward for a correct answer. What is 84 minus 14?,You will receive 100 US dollars for a correct answer. What is 84 minus 14?
22,What is 21 plus 85?,This is a neutral task presented in the standard way. What is 21 plus 85?,You will receive a great reward for a correct answer. What is 21 plus 85?,You will receive 100 US dollars for a correct answer. What is 21 plus 85?
23,What is 128 divided by 8?,This is a neutral task presented in the standard way. What is 128 divided by 8?,You will receive a great reward for a correct answer. What is 128 divided by 8?,You will receive 100 US dollars for a correct answer. What is 128 divided by 8?
24,What is 67 plus 85?,This is a neutral task presented in the standard way. What is 67 plus 85?,You will receive a great reward for a correct answer. What is 67 plus 85?,You will receive 100 US dollars for a correct answer. What is 67 plus 85?
25,What is 131 minus 45?,This is a neutral task presented in the standard way. What is 131 minus 45?,You will receive a great reward for a correct answer. What is 131 minus 45?,You will receive 100 US dollars for a correct answer. What is 131 minus 45?
26,What is 6 times 12?,This is a neutral task presented in the standard way. What is 6 times 12?,You will receive a great reward for a correct answer. What is 6 times 12?,You will receive 100 US dollars for a correct answer. What is 6 times 12?
27,What is 139 minus 14?,This is a neutral task presented in the standard way. What is 139 minus 14?,You will receive a great reward for a correct answer. What is 139 minus 14?,You will receive 100 US dollars for a correct answer. What is 139 minus 14?
28,What is 27 plus 23?,This is a neutral task presented in the standard way. What is 27 plus 23?,You will receive a great reward for a correct answer. What is 27 plus 23?,You will receive 100 US dollars for a correct answer. What is 27 plus 23?
29,What is 70 minus 39?,This is a neutral task presented in the standard way. What is 70 minus 39?,You will receive a great reward for a correct answer. What is 70 minus 39?,You will receive 100 US dollars for a correct answer. What is 70 minus 39?
30,What is 130 divided by 10?,This is a neutral task presented in the standard way. What is 130 divided by 10?,You will receive a great reward for a correct answer. What is 130 divided by 10?,You will receive 100 US dollars for a correct answer. What is 130 divided by 10?
31,What is 63 plus 38?,This is a neutral task presented in the standard way. What is 63 plus 38?,You will receive a great reward for a correct answer. What is 63 plus 38?,You will receive 100 US dollars for a correct answer. What is 63 plus 38?
32,What is 264 divided by 12?,This is a neutral task presented in the standard way. What is 264 divided by 12?,You will receive a great reward for a correct answer. What is 264 divided by 12?,You will receive 100 US dollars for a correct answer. What is 264 divided by 12?
33,What is 184 divided by 8?,This is a neutral task presented in the standard way. What is 184 divided by 8?,You will receive a great reward for a correct answer. What is 184 divided by 8?,You will receive 100 US dollars for a correct answer. What is 184 divided by 8?
34,What is 64 plus 53?,This is a neutral task presented in the standard way. What is 64 plus 53?,You will receive a great reward for a correct answer. What is 64 plus 53?,You will receive 100 US dollars for a correct answer. What is 64 plus 53?
35,What is 150 divided by 6?,This is a neutral task presented in the standard way. What is 150 divided by 6?,You will receive a great reward for a correct answer. What is 150 divided by 6?,You will receive 100 US dollars for a correct answer. What is 150 divided by 6?
36,What is 15 times 16?,This is a neutral task presented in the standard way. What is 15 times 16?,You will receive a great reward for a correct answer. What is 15 times 16?,You will receive 100 US dollars for a correct answer. What is 15 times 16?
37,What is 70 minus 33?,This is a neutral task presented in the standard way. What is 70 minus 33?,You will receive a great reward for a correct answer. What is 70 minus 33?,You will receive 100 US dollars for a correct answer. What is 70 minus 33?
38,What is 96 plus 79?,This is a neutral task presented in the standard way. What is 96 plus 79?,You will receive a great reward for a correct answer. What is 96 plus 79?,You will receive 100 US dollars for a correct answer. What is 96 plus 79?
39,What is 50 divided by 10?,This is a neutral task presented in the standard way. What is 50 divided by 10?,You will receive a great reward for a correct answer. What is 50 divided by 10?,You will receive 100 US dollars for a correct answer. What is 50 divided by 10?
40,What is 77 divided by 11?,This is a neutral task presented in the standard way. What is 77 divided by 11?,You will receive a great reward for a correct answer. What is 77 divided by 11?,You will receive 100 US dollars for a correct answer. What is 77 divided by 11?
41,What is 13 plus 21?,This is a neutral task presented in the standard way. What is 13 plus 21?,You will receive a great reward for a correct answer. What is 13 plus 21?,You will receive 100 US dollars for a correct answer. What is 13 plus 21?
42,What is 74 plus 87?,This is a neutral task presented in the standard way. What is 74 plus 87?,You will receive a great reward for a correct answer. What is 74 plus 87?,You will receive 100 US dollars for a correct answer. What is 74 plus 87?
43,What is 91 plus 24?,This is a neutral task presented in the standard way. What is 91 plus 24?,You will receive a great reward for a correct answer. What is 91 plus 24?,You will receive 100 US dollars for a correct answer. What is 91 plus 24?
44,What is 10 times 15?,This is a neutral task presented in the standard way. What is 10 times 15?,You will receive a great reward for a correct answer. What is 10 times 15?,You will receive 100 US dollars for a correct answer. What is 10 times 15?
45,What is 41 plus 38?,This is a neutral task presented in the standard way. What is 41 plus 38?,You will receive a great reward for a correct answer. What is 41 plus 38?,You will receive 100 US dollars for a correct answer. What is 41 plus 38?
46,What is 95 minus 23?,This is a neutral task presented in the standard way. What is 95 minus 23?,You will receive a great reward for a correct answer. What is 95 minus 23?,You will receive 100 US dollars for a correct answer. What is 95 minus 23?
47,What is 37 plus 39?,This is a neutral task presented in the standard way. What is 37 plus 39?,You will receive a great reward for a correct answer. What is 37 plus 39?,You will receive 100 US dollars for a correct answer. What is 37 plus 39?
48,What is 8 times 12?,This is a neutral task presented in the standard way. What is 8 times 12?,You will receive a great reward for a correct answer. What is 8 times 12?,You will receive 100 US dollars for a correct answer. What is 8 times 12?
49,What is 11 times 25?,This is a neutral task presented in the standard way. What is 11 times 25?,You will receive a great reward for a correct answer. What is 11 times 25?,You will receive 100 US dollars for a correct answer. What is 11 times 25?
50,What is 45 plus 10?,This is a neutral task presented in the standard way. What is 45 plus 10?,You will receive a great reward for a correct answer. What is 45 plus 10?,You will receive 100 US dollars for a correct answer. What is 45 plus 10?
51,What is 141 minus 30?,This is a neutral task presented in the standard way. What is 141 minus 30?,You will receive a great reward for a correct answer. What is 141 minus 30?,You will receive 100 US dollars for a correct answer. What is 141 minus 30?
52,What is 45 divided by 5?,This is a neutral task presented in the standard way. What is 45 divided by 5?,You will receive a great reward for a correct answer. What is 45 divided by 5?,You will receive 100 US dollars for a correct answer. What is 45 divided by 5?
53,What is 77 minus 46?,This is a neutral task presented in the standard way. What is 77 minus 46?,You will receive a great reward for a correct answer. What is 77 minus 46?,You will receive 100 US dollars for a correct answer. What is 77 minus 46?
54,What is 118 minus 25?,This is a neutral task presented in the standard way. What is 118 minus 25?,You will receive a great reward for a correct answer. What is 118 minus 25?,You will receive 100 US dollars for a correct answer. What is 118 minus 25?
55,What is 78 minus 30?,This is a neutral task presented in the standard way. What is 78 minus 30?,You will receive a great reward for a correct answer. What is 78 minus 30?,You will receive 100 US dollars for a correct answer. What is 78 minus 30?
56,What is 15 times 12?,This is a neutral task presented in the standard way. What is 15 times 12?,You will receive a great reward for a correct answer. What is 15 times 12?,You will receive 100 US dollars for a correct answer. What is 15 times 12?
57,What is 2 times 22?,This is a neutral task presented in the standard way. What is 2 times 22?,You will receive a great reward for a correct answer. What is 2 times 22?,You will receive 100 US dollars for a correct answer. What is 2 times 22?
58,What is 27 divided by 3?,This is a neutral task presented in the standard way. What is 27 divided by 3?,You will receive a great reward for a correct answer. What is 27 divided by 3?,You will receive 100 US dollars for a correct answer. What is 27 divided by 3?
59,What is 3 times 25?,This is a neutral task presented in the standard way. What is 3 times 25?,You will receive a great reward for a correct answer. What is 3 times 25?,You will receive 100 US dollars for a correct answer. What is 3 times 25?
60,What is 90 minus 35?,This is a neutral task presented in the standard way. What is 90 minus 35?,You will receive a great reward for a correct answer. What is 90 minus 35?,You will receive 100 US dollars for a correct answer. What is 90 minus 35?
61,What is 96 divided by 12?,This is a neutral task presented in the standard way. What is 96 divided by 12?,You will receive a great reward for a correct answer. What is 96 divided by 12?,You will receive 100 US dollars for a correct answer. What is 96 divided by 12?
62,What is 200 divided by 10?,This is a neutral task presented in the standard way. What is 200 divided by 10?,You will receive a great reward for a correct answer. What is 200 divided by 10?,You will receive 100 US dollars for a correct answer. What is 200 divided by 10?
63,What is 11 times 14?,This is a neutral task presented in the standard way. What is 11 times 14?,You will receive a great reward for a correct answer. What is 11 times 14?,You will receive 100 US dollars for a correct answer. What is 11 times 14?
64,What is 52 divided by 4?,This is a neutral task presented in the standard way. What is 52 divided by 4?,You will receive a great reward for a correct answer. What is 52 divided by 4?,You will receive 100 US dollars for a correct answer. What is 52 divided by 4?
65,What is 144 divided by 12?,This is a neutral task presented in the standard way. What is 144 divided by 12?,You will receive a great reward for a correct answer. What is 144 divided by 12?,You will receive 100 US dollars for a correct answer. What is 144 divided by 12?
66,What is 17 plus 68?,This is a neutral task presented in the standard way. What is 17 plus 68?,You will receive a great reward for a correct answer. What is 17 plus 68?,You will receive 100 US dollars for a correct answer. What is 17 plus 68?
67,What is 9 times 9?,This is a neutral task presented in the standard way. What is 9 times 9?,You will receive a great reward for a correct answer. What is 9 times 9?,You will receive 100 US dollars for a correct answer. What is 9 times 9?
68,What is 72 divided by 8?,This is a neutral task presented in the standard way. What is 72 divided by 8?,You will receive a great reward for a correct answer. What is 72 divided by 8?,You will receive 100 US dollars for a correct answer. What is 72 divided by 8?
69,What is 56 plus 44?,This is a neutral task presented in the standard way. What is 56 plus 44?,You will receive a great reward for a correct answer. What is 56 plus 44?,You will receive 100 US dollars for a correct answer. What is 56 plus 44?
70,What is 120 minus 47?,This is a neutral task presented in the standard way. What is 120 minus 47?,You will receive a great reward for a correct answer. What is 120 minus 47?,You will receive 100 US dollars for a correct answer. What is 120 minus 47?
71,What is 4 times 18?,This is a neutral task presented in the standard way. What is 4 times 18?,You will receive a great reward for a correct answer. What is 4 times 18?,You will receive 100 US dollars for a correct answer. What is 4 times 18?
72,What is 81 divided by 9?,This is a neutral task presented in the standard way. What is 81 divided by 9?,You will receive a great reward for a correct answer. What is 81 divided by 9?,You will receive 100 US dollars for a correct answer. What is 81 divided by 9?
73,What is 33 plus 58?,This is a neutral task presented in the standard way. What is 33 plus 58?,You will receive a great reward for a correct answer. What is 33 plus 58?,You will receive 100 US dollars for a correct answer. What is 33 plus 58?
74,What is 144 minus 72?,This is a neutral task presented in the standard way. What is 144 minus 72?,You will receive a great reward for a correct answer. What is 144 minus 72?,You will receive 100 US dollars for a correct answer. What is 144 minus 72?
75,What is 7 times 13?,This is a neutral task presented in the standard way. What is 7 times 13?,You will receive a great reward for a correct answer. What is 7 times 13?,You will receive 100 US dollars for a correct answer. What is 7 times 13?
76,What is 63 divided by 7?,This is a neutral task presented in the standard way. What is 63 divided by 7?,You will receive a great reward for a correct answer. What is 63 divided by 7?,You will receive 100 US dollars for a correct answer. What is 63 divided by 7?
77,What is 88 plus 12?,This is a neutral task presented in the standard way. What is 88 plus 12?,You will receive a great reward for a correct answer. What is 88 plus 12?,You will receive 100 US dollars for a correct answer. What is 88 plus 12?
78,What is 105 minus 38?,This is a neutral task presented in the standard way. What is 105 minus 38?,You will receive a great reward for a correct answer. What is 105 minus 38?,You will receive 100 US dollars for a correct answer. What is 105 minus 38?
79,What is 5 times 19?,This is a neutral task presented in the standard way. What is 5 times 19?,You will receive a great reward for a correct answer. What is 5 times 19?,You will receive 100 US dollars for a correct answer. What is 5 times 19?
80,What is 48 divided by 6?,This is a neutral task presented in the standard way. What is 48 divided by 6?,You will receive a great reward for a correct answer. What is 48 divided by 6?,You will receive 100 US dollars for a correct answer. What is 48 divided by 6?
81,What is 29 plus 64?,This is a neutral task presented in the standard way. What is 29 plus 64?,You will receive a great reward for a correct answer. What is 29 plus 64?,You will receive 100 US dollars for a correct answer. What is 29 plus 64?
82,What is 93 minus 51?,This is a neutral task presented in the standard way. What is 93 minus 51?,You will receive a great reward for a correct answer. What is 93 minus 51?,You will receive 100 US dollars for a correct answer. What is 93 minus 51?
83,What is 3 times 33?,This is a neutral task presented in the standard way. What is 3 times 33?,You will receive a great reward for a correct answer. What is 3 times 33?,You will receive 100 US dollars for a correct answer. What is 3 times 33?
84,What is 56 divided by 8?,This is a neutral task presented in the standard way. What is 56 divided by 8?,You will receive a great reward for a correct answer. What is 56 divided by 8?,You will receive 100 US dollars for a correct answer. What is 56 divided by 8?
85,What is 44 plus 37?,This is a neutral task presented in the standard way. What is 44 plus 37?,You will receive a great reward for a correct answer. What is 44 plus 37?,You will receive 100 US dollars for a correct answer. What is 44 plus 37?
86,What is 115 minus 29?,This is a neutral task presented in the standard way. What is 115 minus 29?,You will receive a great reward for a correct answer. What is 115 minus 29?,You will receive 100 US dollars for a correct answer. What is 115 minus 29?
87,What is 6 times 14?,This is a neutral task presented in the standard way. What is 6 times 14?,You will receive a great reward for a correct answer. What is 6 times 14?,You will receive 100 US dollars for a correct answer. What is 6 times 14?
88,What is 90 divided by 6?,This is a neutral task presented in the standard way. What is 90 divided by 6?,You will receive a great reward for a correct answer. What is 90 divided by 6?,You will receive 100 US dollars for a correct answer. What is 90 divided by 6?
89,What is 72 plus 19?,This is a neutral task presented in the standard way. What is 72 plus 19?,You will receive a great reward for a correct answer. What is 72 plus 19?,You will receive 100 US dollars for a correct answer. What is 72 plus 19?
90,What is 88 minus 43?,This is a neutral task presented in the standard way. What is 88 minus 43?,You will receive a great reward for a correct answer. What is 88 minus 43?,You will receive 100 US dollars for a correct answer. What is 88 minus 43?
91,What is 11 times 11?,This is a neutral task presented in the standard way. What is 11 times 11?,You will receive a great reward for a correct answer. What is 11 times 11?,You will receive 100 US dollars for a correct answer. What is 11 times 11?
92,What is 36 divided by 4?,This is a neutral task presented in the standard way. What is 36 divided by 4?,You will receive a great reward for a correct answer. What is 36 divided by 4?,You will receive 100 US dollars for a correct answer. What is 36 divided by 4?
93,What is 57 plus 26?,This is a neutral task presented in the standard way. What is 57 plus 26?,You will receive a great reward for a correct answer. What is 57 plus 26?,You will receive 100 US dollars for a correct answer. What is 57 plus 26?
94,What is 100 minus 61?,This is a neutral task presented in the standard way. What is 100 minus 61?,You will receive a great reward for a correct answer. What is 100 minus 61?,You will receive 100 US dollars for a correct answer. What is 100 minus 61?
95,What is 8 times 11?,This is a neutral task presented in the standard way. What is 8 times 11?,You will receive a great reward for a correct answer. What is 8 times 11?,You will receive 100 US dollars for a correct answer. What is 8 times 11?
96,What is 42 divided by 6?,This is a neutral task presented in the standard way. What is 42 divided by 6?,You will receive a great reward for a correct answer. What is 42 divided by 6?,You will receive 100 US dollars for a correct answer. What is 42 divided by 6?
97,What is 65 plus 18?,This is a neutral task presented in the standard way. What is 65 plus 18?,You will receive a great reward for a correct answer. What is 65 plus 18?,You will receive 100 US dollars for a correct answer. What is 65 plus 18?
98,What is 74 minus 38?,This is a neutral task presented in the standard way. What is 74 minus 38?,You will receive a great reward for a correct answer. What is 74 minus 38?,You will receive 100 US dollars for a correct answer. What is 74 minus 38?
99,What is 4 times 24?,This is a neutral task presented in the standard way. What is 4 times 24?,You will receive a great reward for a correct answer. What is 4 times 24?,You will receive 100 US dollars for a correct answer. What is 4 times 24?
100,What is 132 divided by 11?,This is a neutral task presented in the standard way. What is 132 divided by 11?,You will receive a great reward for a correct answer. What is 132 divided by 11?,You will receive 100 US dollars for a correct answer. What is 132 divided by 11?
